GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Siddhi io feed extension,org.wso2.extension.siddhi.io.feed.source,FeedSource,18,171,2,8,5,37,4,13,2,10
Siddhi io feed extension,org.wso2.extension.siddhi.io.feed.source,FeedListener,84,209,9,9,12,56,6,8,0,5
Siddhi io feed extension,org.wso2.extension.siddhi.io.feed.utils,BasicAuthProperties,18,9,0,0,8,3,5,2,5,2
Siddhi io feed extension,org.wso2.extension.siddhi.io.feed.utils,Constants,3,26,0,0,1,5,1,1,1,1
Siddhi io feed extension,org.wso2.extension.siddhi.io.feed.utils,EntryUtils,12,187,11,23,3,31,12,13,1,3
Siddhi io feed extension,org.wso2.extension.siddhi.io.feed.sink.exceptions,FeedErrorResponseException,4,0,0,0,2,0,1,0,1,0
Siddhi io feed extension,org.wso2.extension.siddhi.io.feed.sink,FeedSink,82,254,9,21,14,52,11,18,2,10
